"probs","geography","gender","numofproducts","hascrcard","isactivemember","exited","creditscore_bin","age_bin","tenure_bin","balance_bin","estimatedsalary_bin"
0.076,"France","Male",1,0,0,0,"<350","18-35","<3","100K-130K","<50K"
0.94,"Spain","Male",2,1,1,0,"600-850","35-45","3-5","<100K","50K-100K"
0.068,"Germany","Male",2,1,1,0,"350-600","18-35","3-5","100K-130K","100K-150K"
0.064,"Spain","Male",1,0,1,0,"600-850","35-45","5-7","+170K","<50K"
0.008,"France","Female",2,1,0,0,"600-850","18-35","+7","<100K","+150K"
0.004,"France","Female",2,1,1,0,"<350","35-45","+7","<100K","+150K"
0.016,"France","Male",1,1,1,0,"600-850","45+","+7","<100K","100K-150K"
0.036,"Germany","Female",1,0,1,0,"350-600","35-45","+7","130K-170K","100K-150K"
0.012,"Germany","Female",2,0,1,0,"350-600","35-45","<3","<100K","<50K"
0.132,"Germany","Male",1,1,1,0,"350-600","35-45","3-5","130K-170K","+150K"
0.676,"France","Male",2,1,0,0,"350-600","35-45","5-7","<100K","+150K"
0.016,"France","Male",1,0,1,0,"600-850","45+","<3","130K-170K","+150K"
0.008,"Germany","Female",1,1,1,0,"600-850","18-35","+7","100K-130K","50K-100K"
0.032,"France","Female",2,1,1,0,"350-600","45+","3-5","<100K","<50K"
0.08,"Germany","Male",1,1,1,0,"350-600","35-45","+7","100K-130K","<50K"
0.096,"Spain","Female",2,1,1,0,"350-600","35-45","3-5","<100K","+150K"
0.052,"Germany","Female",2,1,1,1,"600-850","35-45","5-7","100K-130K","+150K"
0.024,"France","Male",1,1,1,0,"<350","18-35","<3","100K-130K","<50K"
0,"Germany","Male",1,1,0,1,"600-850","35-45","5-7","100K-130K","100K-150K"
0.72,"France","Female",2,1,1,0,"350-600","45+","+7","<100K","50K-100K"
0,"Germany","Female",1,1,1,1,"350-600","45+","<3","130K-170K","100K-150K"
0.028,"Spain","Female",2,1,0,0,"<350","18-35","<3","<100K","+150K"
0.1,"France","Female",1,1,0,0,"<350","35-45","+7","100K-130K","50K-100K"
0.064,"France","Male",1,1,1,0,"600-850","45+","5-7","100K-130K","<50K"
0.032,"France","Male",1,0,1,0,"<350","35-45","+7","100K-130K","50K-100K"
0.1,"France","Female",2,0,0,0,"350-600","18-35","<3","<100K","<50K"
0.008,"Spain","Female",2,1,0,1,"<350","35-45","+7","+170K","<50K"
0.812,"Germany","Male",2,1,0,0,"<350","18-35","3-5","100K-130K","50K-100K"
0.044,"Germany","Male",1,1,1,0,"350-600","18-35","5-7","130K-170K","100K-150K"
0.844,"Germany","Male",2,0,1,0,"<350","35-45","+7","130K-170K","100K-150K"
0.208,"France","Female",1,0,0,0,"600-850","18-35","5-7","<100K","100K-150K"
0,"Germany","Female",1,0,1,1,"<350","45+","5-7","100K-130K","100K-150K"
0.052,"Spain","Male",2,0,1,0,"600-850","18-35","<3","130K-170K","+150K"
0.016,"Spain","Male",1,1,0,0,"600-850","18-35","+7","130K-170K","50K-100K"
0.968,"France","Female",4,1,0,1,"350-600","35-45","<3","<100K","100K-150K"
0.016,"France","Male",1,1,1,0,"600-850","45+","+7","<100K","100K-150K"
0.048,"Germany","Male",3,1,0,0,"600-850","18-35","<3","100K-130K","+150K"
0.22,"France","Female",2,1,1,0,"<350","18-35","+7","<100K","<50K"
0.884,"France","Male",1,1,0,0,"600-850","18-35","+7","100K-130K","+150K"
0.02,"Germany","Male",1,1,0,0,"<350","35-45","3-5","130K-170K","50K-100K"
0.008,"France","Female",2,0,1,0,"600-850","18-35","5-7","<100K","<50K"
0.004,"France","Female",2,0,1,0,"<350","35-45","+7","100K-130K","<50K"
0.98,"France","Female",1,1,1,0,"350-600","35-45","+7","<100K","50K-100K"
0.012,"Spain","Male",1,1,1,0,"<350","45+","+7","<100K","50K-100K"
0.056,"France","Female",2,1,1,0,"600-850","18-35","3-5","<100K","+150K"
0.044,"Spain","Male",2,1,1,0,"350-600","18-35","+7","<100K","100K-150K"
0.688,"Germany","Female",2,0,1,0,"<350","18-35","+7","<100K","100K-150K"
0.016,"France","Female",2,1,0,0,"350-600","35-45","<3","<100K","100K-150K"
0.032,"France","Female",2,1,1,0,"<350","18-35","5-7","<100K","50K-100K"
0.132,"Spain","Female",1,1,1,0,"<350","35-45","3-5","130K-170K","+150K"
0.02,"Spain","Female",2,1,0,0,"350-600","45+","3-5","<100K","100K-150K"
0.044,"Spain","Male",1,1,1,0,"350-600","35-45","+7","130K-170K","<50K"
0,"France","Male",2,1,0,0,"350-600","35-45","<3","<100K","<50K"
0.044,"France","Male",1,1,1,0,"600-850","18-35","+7","100K-130K","50K-100K"
0.016,"Germany","Female",2,1,1,0,"<350","18-35","+7","<100K","+150K"
0.036,"France","Male",2,1,0,0,"<350","35-45","+7","<100K","<50K"
0.208,"France","Male",1,1,0,0,"350-600","35-45","+7","130K-170K","<50K"
0.172,"Germany","Female",1,0,1,1,"<350","45+","+7","100K-130K","+150K"
0.008,"France","Male",1,1,1,0,"<350","45+","+7","100K-130K","100K-150K"
0.048,"France","Female",1,1,0,0,"<350","35-45","+7","<100K","100K-150K"
0.092,"Germany","Male",1,1,1,1,"350-600","35-45","5-7","<100K","100K-150K"
0.02,"Germany","Female",3,1,1,1,"350-600","35-45","+7","130K-170K","+150K"
0.968,"Spain","Male",2,0,0,0,"350-600","18-35","5-7","100K-130K","<50K"
0.016,"Spain","Female",1,1,1,0,"<350","18-35","+7","100K-130K","+150K"
0.008,"France","Female",2,1,0,0,"<350","18-35","<3","100K-130K","+150K"
0.108,"Spain","Male",2,1,0,0,"350-600","18-35","5-7","<100K","+150K"
0,"Germany","Female",1,1,0,0,"350-600","18-35","+7","100K-130K","100K-150K"
0.884,"Germany","Male",1,1,1,0,"350-600","18-35","3-5","100K-130K","<50K"
0.024,"France","Male",1,1,0,0,"350-600","35-45","5-7","130K-170K","100K-150K"
0.052,"France","Male",1,1,1,0,"<350","18-35","<3","100K-130K","100K-150K"
0.036,"Germany","Male",1,1,0,1,"350-600","18-35","<3","130K-170K","+150K"
0.652,"France","Female",2,1,1,0,"600-850","18-35","5-7","<100K","50K-100K"
0.02,"France","Male",1,1,0,1,"<350","35-45","5-7","<100K","100K-150K"
0.056,"Germany","Male",1,1,0,1,"350-600","45+","5-7","100K-130K","50K-100K"
0.036,"France","Male",1,0,0,1,"350-600","35-45","5-7","130K-170K","<50K"
0.008,"France","Male",2,1,1,0,"350-600","18-35","+7","<100K","+150K"
0.068,"France","Female",1,1,0,0,"<350","18-35","3-5","<100K","50K-100K"
0.712,"Spain","Male",2,0,0,0,"350-600","18-35","+7","<100K","100K-150K"
0.88,"Spain","Female",1,1,1,0,"<350","18-35","5-7","<100K","+150K"
0.704,"France","Male",1,1,1,0,"600-850","18-35","5-7","130K-170K","<50K"
0.16,"Spain","Female",1,0,1,0,"600-850","45+","<3","100K-130K","<50K"
0.052,"France","Female",2,1,0,1,"<350","35-45","+7","<100K","100K-150K"
0.028,"France","Female",3,0,1,1,"<350","45+","5-7","<100K","50K-100K"
0.112,"France","Male",1,1,1,0,"350-600","18-35","5-7","+170K","100K-150K"
0.68,"France","Male",1,1,0,0,"350-600","18-35","+7","130K-170K","<50K"
0.656,"Germany","Male",1,1,0,1,"350-600","45+","<3","100K-130K","+150K"
0.004,"France","Male",2,1,0,0,"350-600","35-45","3-5","<100K","<50K"
0.012,"France","Male",2,1,0,0,"600-850","18-35","<3","130K-170K","+150K"
0.004,"Germany","Female",2,1,1,0,"350-600","18-35","+7","100K-130K","+150K"
0.108,"Spain","Male",2,1,0,0,"600-850","35-45","3-5","<100K","<50K"
0.132,"Spain","Female",2,1,0,0,"600-850","35-45","<3","+170K","+150K"
0.104,"France","Female",2,1,1,1,"350-600","45+","+7","<100K","50K-100K"
0.072,"Germany","Male",2,0,0,0,"350-600","35-45","+7","100K-130K","+150K"
0.292,"France","Female",2,1,0,0,"600-850","18-35","+7","100K-130K","+150K"
0,"France","Male",1,1,1,0,"<350","18-35","<3","100K-130K","100K-150K"
0.088,"Germany","Female",2,0,1,0,"350-600","45+","3-5","100K-130K","+150K"
0.14,"France","Male",2,1,1,0,"600-850","35-45","5-7","<100K","+150K"
0.148,"France","Male",2,0,0,0,"350-600","35-45","+7","<100K","50K-100K"
0.012,"Germany","Female",2,1,0,1,"<350","45+","5-7","<100K","100K-150K"
0.128,"France","Male",2,1,1,0,"600-850","35-45","5-7","<100K","100K-150K"
0.952,"Germany","Male",1,1,0,1,"350-600","35-45","<3","<100K","<50K"
0.044,"France","Female",1,1,0,0,"350-600","45+","5-7","<100K","<50K"
0.012,"Germany","Female",2,1,0,0,"350-600","18-35","5-7","100K-130K","100K-150K"
0.008,"Spain","Male",1,1,1,0,"<350","18-35","5-7","100K-130K","100K-150K"
0.088,"Germany","Female",1,1,0,1,"350-600","35-45","+7","130K-170K","50K-100K"
0.016,"Germany","Female",1,0,0,0,"600-850","18-35","3-5","<100K","<50K"
0.736,"France","Female",1,0,0,1,"<350","35-45","3-5","<100K","+150K"
0.04,"Germany","Male",1,1,1,0,"350-600","18-35","5-7","100K-130K","100K-150K"
0.024,"Germany","Male",1,1,0,0,"<350","18-35","5-7","130K-170K","100K-150K"
0.04,"Germany","Male",1,1,0,1,"600-850","35-45","+7","100K-130K","<50K"
0.868,"France","Female",3,1,0,0,"<350","18-35","3-5","<100K","+150K"
0.176,"Germany","Female",1,1,0,0,"350-600","35-45","<3","130K-170K","+150K"
0.944,"France","Female",1,1,0,1,"350-600","18-35","+7","<100K","<50K"
0.012,"France","Female",2,1,0,0,"<350","18-35","+7","<100K","<50K"
0.016,"France","Male",1,1,1,0,"<350","35-45","3-5","<100K","<50K"
0.028,"France","Male",1,1,1,0,"<350","18-35","+7","<100K","100K-150K"
0.04,"Spain","Male",2,0,0,1,"600-850","18-35","5-7","<100K","100K-150K"
0.104,"Spain","Male",2,1,0,0,"<350","18-35","<3","<100K","50K-100K"
0.068,"Germany","Male",1,1,1,1,"600-850","45+","<3","130K-170K","100K-150K"
0.052,"Germany","Female",4,0,0,1,"350-600","45+","+7","100K-130K","100K-150K"
0.016,"France","Male",2,1,0,0,"600-850","18-35","3-5","<100K","100K-150K"
0,"Germany","Female",2,0,0,0,"600-850","35-45","5-7","+170K","+150K"
0.04,"France","Female",1,1,0,1,"<350","35-45","+7","130K-170K","50K-100K"
0.168,"Spain","Male",1,1,1,0,"600-850","45+","<3","<100K","+150K"
0.14,"Germany","Male",1,0,1,0,"350-600","18-35","+7","<100K","<50K"
0.98,"France","Female",1,1,1,1,"350-600","35-45","+7","130K-170K","100K-150K"
0.072,"France","Female",2,1,1,0,"350-600","18-35","5-7","+170K","<50K"
0.02,"France","Female",1,1,0,0,"600-850","18-35","3-5","130K-170K","50K-100K"
0.868,"France","Female",2,1,0,0,"600-850","18-35","<3","<100K","+150K"
0.08,"Germany","Female",1,0,0,0,"350-600","35-45","+7","100K-130K","50K-100K"
0.02,"France","Male",2,0,0,0,"<350","18-35","5-7","<100K","<50K"
0.016,"Spain","Male",2,1,1,0,"350-600","35-45","5-7","<100K","100K-150K"
0.076,"Spain","Male",1,1,1,0,"<350","18-35","5-7","<100K","+150K"
0.024,"Germany","Male",1,1,0,1,"350-600","35-45","+7","100K-130K","50K-100K"
0,"Germany","Female",1,1,0,0,"<350","18-35","5-7","130K-170K","50K-100K"
0,"France","Male",2,1,1,0,"350-600","18-35","5-7","<100K","50K-100K"
0.04,"France","Female",2,0,0,0,"350-600","18-35","3-5","<100K","100K-150K"
0.004,"Spain","Male",1,0,0,1,"350-600","45+","3-5","<100K","50K-100K"
0.156,"Spain","Male",1,0,0,0,"350-600","35-45","3-5","100K-130K","100K-150K"
0.928,"France","Male",2,1,0,0,"<350","18-35","<3","<100K","<50K"
0.116,"Spain","Male",1,0,0,0,"<350","35-45","3-5","130K-170K","50K-100K"
0.096,"France","Male",1,1,0,0,"<350","45+","+7","<100K","50K-100K"
0.924,"Germany","Female",1,0,1,1,"350-600","45+","+7","130K-170K","50K-100K"
0.776,"France","Female",1,1,1,1,"600-850","45+","+7","100K-130K","<50K"
0.052,"Germany","Female",2,1,1,0,"350-600","45+","5-7","130K-170K","50K-100K"
0.02,"France","Male",1,1,0,0,"<350","18-35","<3","100K-130K","50K-100K"
0.02,"France","Male",1,1,1,0,"<350","45+","+7","<100K","<50K"
0.06,"Germany","Female",1,1,1,1,"<350","45+","3-5","100K-130K","<50K"
0.936,"France","Male",2,1,1,0,"350-600","35-45","+7","<100K","50K-100K"
0.012,"Germany","Female",2,1,1,0,"350-600","35-45","<3","100K-130K","100K-150K"
0.248,"Germany","Male",2,1,1,0,"350-600","35-45","<3","+170K","50K-100K"
0.152,"France","Male",1,1,0,0,"350-600","35-45","+7","130K-170K","<50K"
0.052,"Spain","Female",1,0,1,0,"350-600","18-35","+7","<100K","100K-150K"
0.012,"Germany","Female",2,1,1,0,"600-850","18-35","+7","100K-130K","+150K"
0.068,"France","Male",1,0,0,1,"350-600","45+","5-7","<100K","<50K"
0.032,"France","Male",2,1,1,1,"350-600","35-45","+7","130K-170K","100K-150K"
0.012,"Germany","Female",1,1,1,0,"600-850","18-35","<3","130K-170K","100K-150K"
0,"Spain","Female",2,1,1,0,"350-600","18-35","+7","130K-170K","100K-150K"
0.1,"France","Female",2,1,1,0,"350-600","35-45","+7","<100K","50K-100K"
0.04,"Spain","Female",2,0,0,0,"<350","18-35","3-5","130K-170K","100K-150K"
0.092,"France","Female",1,0,0,0,"600-850","35-45","3-5","100K-130K","50K-100K"
0.012,"France","Female",1,1,0,1,"600-850","45+","3-5","<100K","100K-150K"
0.004,"Spain","Female",2,1,0,0,"<350","35-45","<3","<100K","50K-100K"
0.044,"France","Female",1,1,1,0,"600-850","35-45","+7","+170K","50K-100K"
0.16,"France","Female",1,0,1,0,"350-600","45+","+7","130K-170K","<50K"
0.008,"France","Male",2,0,1,0,"350-600","18-35","+7","<100K","100K-150K"
0.036,"Spain","Female",2,0,0,0,"350-600","18-35","<3","<100K","<50K"
0.068,"Germany","Male",1,1,1,1,"<350","35-45","<3","130K-170K","<50K"
0.06,"Germany","Male",1,1,1,1,"600-850","45+","+7","100K-130K","+150K"
0.036,"Spain","Female",2,0,1,0,"600-850","18-35","3-5","<100K","100K-150K"
0.012,"Germany","Female",2,1,1,0,"600-850","18-35","5-7","100K-130K","50K-100K"
0.016,"France","Male",1,1,1,0,"350-600","18-35","+7","<100K","50K-100K"
0.028,"Germany","Male",2,1,1,0,"600-850","18-35","<3","100K-130K","50K-100K"
0.072,"Germany","Male",1,1,1,0,"<350","45+","5-7","<100K","50K-100K"
0.012,"Germany","Female",1,1,0,1,"<350","18-35","<3","100K-130K","+150K"
0.032,"Germany","Male",1,1,0,1,"600-850","45+","5-7","130K-170K","<50K"
0.908,"Spain","Male",1,0,0,0,"350-600","35-45","<3","100K-130K","+150K"
0.02,"Germany","Female",1,1,0,0,"350-600","45+","+7","130K-170K","50K-100K"
0.02,"France","Male",1,1,0,0,"350-600","35-45","+7","<100K","50K-100K"
0.032,"Germany","Female",3,1,1,0,"350-600","18-35","3-5","100K-130K","+150K"
0.036,"Spain","Male",1,1,0,1,"<350","18-35","3-5","130K-170K","<50K"
0.732,"Germany","Male",1,0,0,0,"350-600","18-35","+7","130K-170K","<50K"
0.16,"France","Female",2,1,1,0,"600-850","35-45","5-7","<100K","<50K"
0.892,"Germany","Female",1,1,1,0,"350-600","18-35","+7","<100K","<50K"
0.028,"France","Female",1,1,0,0,"600-850","18-35","5-7","<100K","50K-100K"
0.088,"France","Female",1,1,0,1,"600-850","45+","+7","100K-130K","50K-100K"
0.088,"Spain","Female",1,1,1,0,"600-850","45+","5-7","<100K","<50K"
0,"Spain","Male",1,1,0,0,"<350","18-35","<3","<100K","50K-100K"
0.964,"Germany","Female",1,0,0,1,"350-600","45+","3-5","100K-130K","+150K"
0.128,"France","Male",1,1,1,0,"350-600","18-35","+7","100K-130K","50K-100K"
0.036,"Germany","Female",2,1,0,0,"600-850","35-45","5-7","130K-170K","50K-100K"
0.02,"France","Female",3,1,0,1,"350-600","35-45","3-5","<100K","100K-150K"
0.644,"Spain","Male",1,1,1,0,"<350","18-35","3-5","100K-130K","<50K"
0.06,"Spain","Male",1,1,0,0,"<350","35-45","3-5","+170K","+150K"
0.72,"France","Female",1,1,0,0,"600-850","35-45","<3","130K-170K","+150K"
0.02,"Germany","Female",2,1,1,0,"600-850","18-35","<3","100K-130K","<50K"
0.068,"Germany","Female",2,1,0,0,"600-850","18-35","+7","<100K","50K-100K"
0.304,"France","Female",1,0,1,0,"350-600","35-45","5-7","<100K","<50K"
0.076,"Germany","Male",1,1,0,1,"350-600","18-35","+7","100K-130K","+150K"
0.064,"Germany","Male",1,1,1,1,"600-850","45+","3-5","100K-130K","<50K"
0.812,"France","Male",1,1,1,0,"600-850","35-45","3-5","<100K","100K-150K"
0.072,"Spain","Male",2,1,1,0,"350-600","18-35","5-7","<100K","50K-100K"
0.108,"France","Female",1,1,0,0,"350-600","18-35","+7","130K-170K","100K-150K"
0.004,"Spain","Male",1,1,1,0,"350-600","35-45","<3","100K-130K","<50K"
0.044,"France","Female",2,1,0,0,"600-850","18-35","+7","<100K","50K-100K"
0.024,"Spain","Male",1,0,0,0,"350-600","35-45","3-5","<100K","<50K"
0.028,"France","Male",2,0,1,0,"600-850","18-35","3-5","130K-170K","50K-100K"
0.008,"Germany","Female",3,1,0,1,"<350","18-35","3-5","100K-130K","<50K"
0.08,"Germany","Male",2,1,0,0,"350-600","45+","<3","+170K","<50K"
0.012,"France","Male",1,0,0,0,"600-850","35-45","5-7","130K-170K","100K-150K"
0,"France","Male",1,0,0,0,"350-600","18-35","+7","<100K","100K-150K"
0.004,"Spain","Male",1,0,1,0,"350-600","45+","<3","100K-130K","+150K"
0.056,"France","Male",1,0,0,0,"350-600","18-35","+7","<100K","50K-100K"
0.072,"Germany","Female",1,1,0,0,"600-850","18-35","<3","130K-170K","+150K"
0.852,"Spain","Male",2,0,1,0,"600-850","35-45","<3","<100K","100K-150K"
0.056,"Spain","Female",2,1,0,0,"600-850","35-45","5-7","<100K","100K-150K"
0,"Spain","Female",2,1,1,0,"350-600","35-45","5-7","<100K","+150K"
0.064,"Germany","Male",2,1,0,0,"600-850","35-45","3-5","130K-170K","50K-100K"
0.02,"France","Male",2,1,1,0,"<350","18-35","5-7","<100K","+150K"
0.904,"Germany","Female",1,1,1,0,"600-850","18-35","<3","100K-130K","50K-100K"
0.7,"Germany","Female",2,0,0,0,"350-600","18-35","3-5","100K-130K","<50K"
0.032,"France","Male",2,1,1,0,"<350","35-45","5-7","<100K","100K-150K"
0.04,"France","Female",1,1,0,1,"350-600","35-45","+7","100K-130K","+150K"
0,"Spain","Male",2,1,1,0,"350-600","35-45","+7","<100K","<50K"
0.828,"France","Male",1,0,1,0,"350-600","18-35","+7","<100K","100K-150K"
0.856,"France","Male",1,0,1,0,"<350","18-35","+7","100K-130K","+150K"
0.32,"France","Male",1,1,0,0,"<350","35-45","5-7","<100K","50K-100K"
0.1,"Spain","Male",1,1,0,0,"600-850","35-45","+7","100K-130K","+150K"
0.032,"Spain","Male",2,1,1,0,"<350","18-35","<3","<100K","+150K"
0.052,"Germany","Female",2,1,0,0,"<350","45+","<3","100K-130K","50K-100K"
0.224,"France","Male",2,1,0,0,"600-850","18-35","<3","<100K","100K-150K"
0.016,"Spain","Male",1,1,1,0,"600-850","45+","+7","<100K","<50K"
0.06,"Spain","Male",1,1,1,0,"<350","18-35","+7","100K-130K","100K-150K"
0.068,"Spain","Male",2,0,0,0,"350-600","18-35","5-7","130K-170K","<50K"
0.016,"France","Male",1,1,1,0,"350-600","35-45","5-7","100K-130K","100K-150K"
0.688,"France","Male",2,1,1,0,"<350","45+","+7","100K-130K","50K-100K"
0.04,"Germany","Female",1,1,1,1,"350-600","18-35","+7","130K-170K","50K-100K"
0.02,"France","Male",1,1,1,0,"<350","35-45","+7","<100K","<50K"
0,"Spain","Male",1,1,0,0,"350-600","18-35","5-7","100K-130K","+150K"
0.032,"France","Female",2,0,0,0,"350-600","35-45","+7","<100K","50K-100K"
0.044,"Spain","Male",1,1,1,1,"350-600","45+","<3","130K-170K","100K-150K"
0.036,"France","Male",1,1,1,0,"350-600","45+","5-7","130K-170K","<50K"
0.08,"France","Male",2,1,0,0,"600-850","35-45","5-7","<100K","<50K"
0.008,"Germany","Male",2,1,1,0,"350-600","45+","5-7","130K-170K","<50K"
0.16,"France","Female",2,0,0,0,"<350","35-45","<3","<100K","<50K"
0.016,"Spain","Female",2,1,1,0,"350-600","45+","<3","<100K","50K-100K"
0.92,"France","Male",2,1,0,0,"350-600","18-35","+7","<100K","+150K"
0.092,"Germany","Female",1,0,0,0,"<350","18-35","+7","+170K","+150K"
0.016,"France","Male",1,1,1,0,"600-850","18-35","+7","100K-130K","<50K"
0.044,"Germany","Male",1,1,0,0,"350-600","35-45","+7","100K-130K","<50K"
0.1,"Spain","Male",2,1,0,1,"350-600","45+","+7","100K-130K","50K-100K"
0.052,"Germany","Male",2,0,1,0,"350-600","45+","5-7","100K-130K","100K-150K"
0.848,"France","Female",2,0,1,1,"<350","45+","5-7","<100K","+150K"
0.004,"Germany","Female",1,1,0,1,"600-850","45+","+7","130K-170K","100K-150K"
0.896,"Germany","Male",2,1,0,0,"<350","35-45","5-7","100K-130K","<50K"
0.948,"Spain","Male",1,1,1,0,"350-600","35-45","+7","<100K","100K-150K"
0.072,"France","Female",2,1,0,0,"600-850","18-35","+7","<100K","+150K"
0.06,"France","Female",2,1,0,0,"<350","35-45","5-7","<100K","50K-100K"
0.036,"France","Female",3,0,0,1,"600-850","35-45","<3","<100K","50K-100K"
0.02,"France","Male",2,0,1,0,"600-850","45+","5-7","<100K","<50K"
0.008,"Spain","Male",2,1,0,0,"<350","45+","+7","<100K","50K-100K"
0.064,"Germany","Female",1,0,0,1,"350-600","35-45","<3","100K-130K","+150K"
0.9,"Germany","Male",2,1,1,0,"<350","18-35","+7","+170K","<50K"
0.148,"Spain","Male",2,0,0,0,"600-850","35-45","+7","<100K","50K-100K"
0,"France","Male",2,0,0,0,"600-850","35-45","+7","<100K","50K-100K"
0.012,"France","Female",2,1,1,0,"<350","18-35","5-7","100K-130K","<50K"
0.032,"Spain","Male",2,1,0,1,"350-600","35-45","+7","100K-130K","100K-150K"
0.728,"Germany","Male",1,0,0,1,"<350","45+","+7","100K-130K","50K-100K"
0.14,"Germany","Male",2,0,1,0,"600-850","18-35","<3","<100K","100K-150K"
0.004,"France","Female",1,1,1,0,"600-850","45+","+7","<100K","+150K"
0.056,"Spain","Female",2,1,1,0,"350-600","35-45","5-7","100K-130K","<50K"
0.02,"Spain","Female",1,1,1,0,"<350","45+","<3","<100K","+150K"
0.084,"France","Male",1,0,0,0,"600-850","18-35","5-7","100K-130K","+150K"
0.004,"Spain","Male",2,1,1,0,"350-600","18-35","3-5","<100K","+150K"
0,"Germany","Female",2,1,1,0,"<350","18-35","<3","+170K","<50K"
0.752,"France","Male",1,1,1,0,"350-600","18-35","<3","100K-130K","+150K"
0.024,"Germany","Female",1,1,0,0,"<350","18-35","<3","<100K","<50K"
0.052,"France","Female",2,1,1,0,"600-850","35-45","+7","<100K","50K-100K"
0.044,"France","Female",1,1,1,1,"600-850","45+","<3","130K-170K","<50K"
0.076,"France","Female",2,1,1,0,"<350","18-35","+7","<100K","100K-150K"
0.016,"France","Male",2,0,1,0,"<350","18-35","<3","<100K","50K-100K"
0.948,"France","Male",2,1,0,0,"600-850","18-35","<3","<100K","50K-100K"
0.016,"France","Male",1,1,1,0,"350-600","35-45","3-5","100K-130K","50K-100K"
0.052,"Germany","Female",2,0,1,0,"<350","18-35","<3","100K-130K","100K-150K"
0.684,"Germany","Female",1,0,1,1,"<350","45+","3-5","100K-130K","<50K"
